title,detected_names,names_count
Promowana na siłę poprawność. Kamil Prabucki,,0
Eksperyment z myszami. Igor Witkowski,,0
Powstańcy narażali cywili? Leszek Żebrowski,,0
Powstańcy nie mieli broni? Leszek Żebrowski,,0
Powstańcy byli szaleńcami? Leszek Żebrowski,,0
Depresja poporodowa  #balans #podcast #psychoterapia,,0
"Rymanowski, Gawkowski: Gabinet wojenny?",Gawkowski  Gabinet,1
Czy partia Joanny Senyszyn rozbije duopol w Polsce?  #senyszyn #polityka #popis #polska #rymanowski,,0
Za mało kobiet w rządzie? Senyszyn grzmi po rekonstrukcji  #kobieta #rząd #senyszyn #polityka #tusk,,0
Czy Polska to poważne państwo? Jakubiak kontra Senyszyn  #prawo #po #pis #rząd #polska #polityka,Czy Polska,1
"KONTRA #9 Rymanowski, Giełzak, Ziemkiewicz: Co z tą Polską i Europą?",Giełzak  Ziemkiewicz,1
Żurek i sprawiedliwość – czy PiS ma się czego bać?  #senyszyn #jakubiak #żurek #rząd #polityka,,0
Koniec Bodnara w rządzie. Co na to Senyszyn i Jakubiak?  #rząd #bodnar #tusk #polityka #prawo,Koniec Bodnara,1
"Kto rano wstaje, ten co?  #senyszyn #jakubiak #hołownia #polityka #śmieszne #przysłowia #rymanowski",,0
Bosak kontra Matczak – kto ma rację?  #migracja #granica #bosak #matczak #polityka #polska,,0
Nielegalna a masowa imigracja – jaka jest różnica?  #bosak #migracja #polityka #polska #rymanowski,,0
Krzysztof Bosak na granicy – co robi?  #bosak #migracja #konfederacja #polityka #kościół #rymanowski,Krzysztof Bosak,1
Etat czy biznes? Da się jedno i drugie! GROM #biznes #motywacja #rozwójosobisty,,0
Co naprawdę Cię blokuje? #przywództwo #rozwójosobisty #mentalność #biznes,,0
Co naprawdę Cię blokuje? przywództwo #rozwójosobisty #mentalność #biznes,,0
Jak uzdrowić poczucie własnej wartości? Pati Garg Gosia Ohme | Kafka Odc. 445,"Garg Gosia, Kafka Odc",2
"Między wstydem, a wolnością - o dojrzałej kobiecości — Alicja Długołęcka Gosia Ohme",Długołęcka Gosia,1
Jak dzieciństwo kształtuje twoje relacje — Katarzyna Miller Gosia Ohme,Miller Gosia,1
Moja droga do siebie – Gosia Ohme,,0
Facet idealny – Katarzyna Miller Gosia Ohme,"Katarzyna Miller, Gosia Ohme",2
Odzyskaj siłę i odrzuć toksyczne relacje – Gosia Ohme,Gosia Ohme,1
"Dojrzałość, miłość i autonomia — Alicja Długołęcka Gosia Ohme","Alicja Długołęcka, Gosia Ohme",2
Pokonaj strach – Gosia Ohme,Gosia Ohme,1
TO KOBIETA WYBIERA MĘŻCZYZNĘ #podcast #wzwiązku #psychoterapia,,0
"MĘŻCZYZNA MA BARDZIEJ KOCHAĆ KOBIETĘ, NIŻ KOCHAĆ SIEBIE #podcast #wzwiązku #psychoterapia",,0
ASSTER: DALEJ JEST WE MNIE PODZIEMNY BRUD (WYWIAD),,0
TO PRZYSZŁOŚĆ POLSKIEGO RAPU?,,0
Na jaki koncert OFF Festivalu czekasz najbardziej? Perlage #reklama,,0
Używana elektryki w komisie,,0
Hity polskich auto komisów,,0
Na co zwraca uwagę właściciel komisu samochodowego?,,0
"Szok w Polsacie! Urbański zdradza, co zrobią z Milionerami – widzowie przecierają oczy",,0
Po latach Edward Miszczak przerwał milczenie. Tak zmarła jego żona,,0
Kaczorowska i Rogacewicz SĄ PARĄ?! Reakcja Agnieszki mówi wszystko!,Reakcja Agnieszki,1
"Byłyśmy umówione… Małgorzata Walewska o śmierci Joanny Kołaczkowskiej: Myślałam, że wyzdrowieje",Joanny Kołaczkowskiej,1
Artur Andrus żegna Joannę Kołaczkowską. Spełnił jej nietypową prośbę,Joannę Kołaczkowską,1
"Serialowa Mariolka wspomina ostatnie chwile Marzeny Kipiel-Sztuki. ""Była bardzo skrzywdzona""","Serialowa Mariolka, Marzeny Kipiel",2
Wzruszający widok na grobie Joanny Kołaczkowskiej. Fani zostawiają listy i prezenty,Kołaczkowskiej  Fani,1
Nie wszyscy chcieli z nią grać. Pazura ujawnia kulisy pracy z Kołaczkowską,,0
"Jeszcze nie ruszył „Taniec z Gwiazdami”, a już łamią zasady! Uczestnicy przyłapani!",,0
"Trudno uwierzyć, że Steczkowska ma 52 lata. Zdradziła swój sekret. Wpływa na zdrowie",,0
