title,detected_names,names_count
Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,Włodzisław Duch,1
03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"Lepszy Od, Piotr Pająk",2
"02 Błagałem, Żebym Przetrwał Do Rana – ft. Piotr Pająk","Przetrwał Do, Piotr Pająk",2
#476 Jak Rosjanie Reagują Na Polaków? Jak Naprawdę Wygląda Życie w Korei Północnej? - Piotr Pająk,"Jak Rosjanie, Reagują Na, Jak Naprawdę, Wygląda Życie",4
07 Pomysły Na Biznes w Polsce – ft. Bartosz Majewski,Bartosz Majewski,1
01 Jak Naprawdę Wygląda Korea Północna? – ft. Piotr Pająk (premiera we wtorek o 19:00),"Jak Naprawdę, Wygląda Korea, Piotr Pająk",3
06 Czy To Dlatego Trump Wygrał Wybory? – ft. Bartosz Majewski,"To Dlatego, Trump Wygrał, Bartosz Majewski",3
05 Moja Rada Dla Młodych Ludzi – ft. Bartosz Majewski,"Rada Dla, Młodych Ludzi, Bartosz Majewski",3
04 Dlaczego YouTuberzy Będą Zarabiać Więcej Pieniędzy? – ft. Bartosz Majewski,"Zarabiać Więcej, Bartosz Majewski",2
03 Jak Znaleźć Młodych Ludzi z Talentem? – ft. Bartosz Majewski,"Jak Znaleźć, Młodych Ludzi, Bartosz Majewski",3
02 Niesamowita Zbiórka w Kanale Zero – ft. Bartosz Majewski,Bartosz Majewski,1
#475 Jak Kupić Sobie Więcej Czasu? W Jakim Kierunku Idzie Polskie Społeczeństwo? - Bartosz Majewski,"Jak Kupić, Sobie Więcej, Jakim Kierunku, Idzie Polskie, Bartosz Majewski",5
04 Najgorszy Moment w Mauretanii – ft. Piotr Pająk,"Najgorszy Moment, Piotr Pająk",2
"Myślisz, że jesz zdrowo? Sprawdź skład jogurtu i chleba - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
Kiedyś 170 dodatków do żywności. Dziś? Ponad 10 tysięcy - dr Tadeusz Oleszczuk,"Dziś  Ponad, Tadeusz Oleszczuk",2
To już nie jest jedzenie. To tylko dobrze opakowany syf - dr Tadeusz Oleszczuk,,0
Najważniejszym narządem w s3ksie jest... mózg - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
Masz niski testosteron? To może być przez stres i brak ruchu - dr Tadeusz Oleszczuk,,0
"Odrobaczasz psa, ale siebie nigdy? 45% z nas ma pasożyty - dr Tadeusz Oleszczuk",,0
"Lekarz mówi: ""Proszę o siebie dbać"". Ale co to właściwie znaczy? - dr Tadeusz Oleszczuk",,0
"Po co pytać o dietę, skoro łatwiej wypisać lek? - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
To nie twoja wina. System zarabia na twojej chorobie - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
"Pacjentki krążą między lekarzami, a nikt nie mówi dlaczego - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
"Odszedłem od systemu, bo leczyliśmy tylko objawy - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
Prawdziwe lekarstwo to jedzenie! Jak długo żyć z dala od apteki? dr Tadeusz Oleszczuk,,0
Planował zdobyć Ama Dablam. Co poszło nie tak? - Podróże Wojownika,Ama Dablam,1
"Gdybym chciał tylko odhaczać kraje, dawno miałbym zaliczony cały świat - Podróże Wojownika",,0
Jakie produkty naprawdę wspierają długowieczność? - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
POWRÓT DO SPRAWY ANDRZEJA LEPPERA #podcast #shorts,,0
ZAINTERESOWANIE SPRAWĄ ANDRZEJA LEPPERA #podcast #shorts,,0
PRAWDA PONAD WSZYSTKO #podcast #shorts,,0
KTO POWINIEN RZĄDZIĆ POLSKĄ #podcast #shorts,,0
INWIGILACJA ANDRZEJA LEPPERA #podcast #shorts,,0
ZWIĄZKI DONALDA TUSKA #podcast #shorts,,0
"""TAJEMNICE MUZUŁMANÓW I ISLAMU - CO SKRYWA KORAN?"" ISLAMSKI KSIĄDZ O ZAKAZACH",,0
ILE SPALA ŚMIGŁOWIEC #podcast #shorts,,0
Jakie plany miał Minister Ziobro vs Rozwodów? #rozwód,,0
Czym jest alienacja rodzicielska? #rozwód #alienacja,,0
Koniec z płaceniem alimentów? #alimenty #rozwód,,0
Koniec ALIMENTÓW? Rewolucja w rozwodach! Prawnik tłumaczy!,,0
Czy wstyd to najsilniejsza emocja?,,0
Czy każda matka kocha swoje dziecko? #macierzyństwo,,0
Włodzimierz Czarzasty: nikt z nas nie znał Magdaleny Ogórek,Włodzimierz Czarzasty,1
Włodzimierz Czarzasty: każda poważna formacja powinna wystawić kandydata na prezydenta,Włodzimierz Czarzasty,1
"Prawda o historii? Trzeba ją mówić, nawet jeśli boli – Włodzimierz Czarzasty",Włodzimierz Czarzasty,1
"Włodzimierz Czarzasty: Spotkanie z Morawieckim? Tak, to była głupota.",Włodzimierz Czarzasty,1
Włodzimierz Czarzasty – kto naprawdę uratował KPO?,Włodzimierz Czarzasty,1
Włodzimierz Czarzasty o wystąpieniu Trzaskowskiego w Końskich,Włodzimierz Czarzasty,1
Włodzimierz Czarzasty: Polska nie jest krajem lewicowym,Włodzimierz Czarzasty,1
Łatwo być bohaterem w dobrych czasach – Włodzimierz Czarzasty,Włodzimierz Czarzasty,1
Włodzimierz Czarzasty: polityka jest mądrą sztuką kompromisu,Włodzimierz Czarzasty,1
Włodzimierz Czarzasty o Hołowni: czasami wolę Szymona oglądać niż słuchać,Włodzimierz Czarzasty,1
SZYMONA WOLĘ OGLĄDAĆ NIŻ SŁUCHAĆ. Włodzimierz Czarzasty o tym jak być liderem Lewicy,Włodzimierz Czarzasty,1
"Marcin Majewski – czy są fragmenty Biblii, które dziś powinno się przemilczeć?",Marcin Majewski,1
Źle przetłumaczona Biblia? Skąd te błędy? Marcin Majewski,Biblia  Skąd,1
Czy osiągnięcie celu naprawdę może coś zmienić? Piotr Polo Przywarski,Piotr Polo,1
"Piotr Polo Przywarski i jego ""chora historia""",Piotr Polo,1
"Ekstremalna przestępczość, bieda i brud. Jak podróżuje Piotr Polo Przywarski",Piotr Polo,1
"Depresja u mężczyzn to porażka męskości? Przyczyny, objawy i diagnoza | Debata",,0
Lek na raka nie istnieje i nigdy istnieć nie będzie | dr inż. Adam Mirek,Adam Mirek,1
3 sposoby na nieśmiertelność - jak przedłużyć sobie życie? | dr inż. Adam Mirek,Adam Mirek,1
Biodruk 3D: który narząd wydrukujemy jako pierwszy? | @adam_mirek,,0
"Co ojcowie sądzą o publikowaniu wizerunku dzieci w internecie? | Hyodo, Łukowski, Baleja",,0
"Kiedy człowiek stanie się nieśmiertelny? Drukowane organy, lek na raka, AI | dr inż. Adam Mirek",Adam Mirek,1
Przemoc➡️PRZE-MOC! Piękna historia♥️ #podcast #kasianast #siłakobiet #przemoc,,0
"To, co jest niewygodne, może być piękne!✨👐 #podcast #kasianast #medycynanaturalna #rytuały",,0
Kto był na premierze?⭐️ #podcast #kasianast #motywacja #rozwójosobisty,,0
"„LUDZIE, KTÓRZY NAJBARDZIEJ BOJĄ SIĘ ŚMIERCI, TO CI, KTÓRZY NAJBARDZIEJ BOJĄ SIĘ ŻYĆ” - KASIA NAST",,0
"Promują Ideologie, Seksualizują Dzieci i Mówią, Że To Postęp!","Promują Ideologie, To Postęp",2
Leki na ADHD ograniczają wolę? Igor Witkowski,,0
Rozpad cywilizacji w najbliższych miesiącach? Igor Witkowski,,0
Patriotyzm czy teatr? Co naprawdę dzieje się na polskiej granicy? SKW,,0
Pracowałam podczas PORODU  #balans #podcast #psychoterapia,,0
Najbliżej mnie ZBRODNIA była ...  #balans #podcast,,0
Jak wygląda początek depresji? || Kinga Rajchel #73,,0
"Rymanowski, Bosak: Z kim Konfederacji po drodze?",,0
Jerzy Brzęczek miał wrócić do kadry?  #kołtoń #brzęczek #trener #urban #polska #piłkanożna #pzpn,Jerzy Brzęczek,1
Jakim prezesem jest Cezary Kulesza?  #kołtoń #opinia #kulesza #pzpn #piłkanożna #sport #polska,,0
Tajemniczy kontrakt Urbana – ile naprawdę potrwa?  #kołtoń #urban #pzpn #kulesza #piłkanożna,,0
Czy Lewy dogada się z Urbanem? Komentuje Roman Kołtoń  #lewandowski #urban #polska #piłkanożna,"Czy Lewy, Roman Kołtoń",2
Co dalej z Unią Europejską? Odpowiada Adam Bielan  #ue #polska #niemcy #brexit #merkel #bielan,Europejską  Odpowiada,1
Znakomita historia prezydenta elekta? Tłumaczy Adam Bielan  #prezydent #wybory #nawrocki #polityka,,0
"VIOLA ""FROGSZOPOSTING"": Granica między inspiracją a kradzieżą - ŻABKA, NETLIFX, ANIELA | WINI",,0
Czwarte prawo robotyki odmieni sztuczną inteligencję | prof. Dariusz Jemielniak,,0
"""Powinienem wisieć"" umysł przestępcy skazanego na dożywocie. Zbyszek Nowak",Zbyszek Nowak,1
"Moment, który wszystko zmienił. Rozmowa z Gonciarzem z 2018 roku",,0
"Co bym zrobił, gdybym nie miał pieniędzy na psychoterapię? | psycholog Dawid Straszak",,0
Sarmaci i potomkowie Chama,,0
