title,detected_names,names_count
Prof. Włodzisław Duch o elektrycznych owcach #shorts,Włodzisław Duch,1
Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,Włodzisław Duch,1
04 Najgorszy Moment w Mauretanii – ft. Piotr Pająk,"Najgorszy Moment, Piotr Pająk",2
10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Gdzie Nauczyć, Się Rozmawiać",2
09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Jak Rosjanie, Reagują Na",2
08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"Ludzie Są, Uzbrojeni Strasznie, Piotr Pająk",3
07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"Działa Izraelska, Piotr Pająk",2
06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Najbrudniejsze Kraje, Piotr Pająk",2
"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk",,0
03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"Lepszy Od, Piotr Pająk",2
"02 Błagałem, Żebym Przetrwał Do Rana – ft. Piotr Pająk","Przetrwał Do, Piotr Pająk",2
#476 Jak Rosjanie Reagują Na Polaków? Jak Naprawdę Wygląda Życie w Korei Północnej? - Piotr Pająk,"Jak Rosjanie, Reagują Na, Jak Naprawdę, Wygląda Życie",4
07 Pomysły Na Biznes w Polsce – ft. Bartosz Majewski,Bartosz Majewski,1
01 Jak Naprawdę Wygląda Korea Północna? – ft. Piotr Pająk (premiera we wtorek o 19:00),"Jak Naprawdę, Wygląda Korea, Piotr Pająk",3
06 Czy To Dlatego Trump Wygrał Wybory? – ft. Bartosz Majewski,"To Dlatego, Trump Wygrał, Bartosz Majewski",3
05 Moja Rada Dla Młodych Ludzi – ft. Bartosz Majewski,"Rada Dla, Młodych Ludzi, Bartosz Majewski",3
Jakie produkty naprawdę wspierają długowieczność? - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
Banki kontra klienci. Kto tu naprawdę dba o twój interes? - Trader21,,0
Koniec wolności: jak system chce pozbawić cię pieniędzy? Trader21,,0
Czy po 50. roku życia mężczyzna potrzebuje terapii testosteronem? - dr Tadeusz Oleszczuk,,0
Czy filtry SPF naprawdę są bezpieczne? - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
"Myślisz, że jesz zdrowo? Sprawdź skład jogurtu i chleba - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
Kiedyś 170 dodatków do żywności. Dziś? Ponad 10 tysięcy - dr Tadeusz Oleszczuk,"Dziś  Ponad, Tadeusz Oleszczuk",2
To już nie jest jedzenie. To tylko dobrze opakowany syf - dr Tadeusz Oleszczuk,,0
Najważniejszym narządem w s3ksie jest... mózg - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
Masz niski testosteron? To może być przez stres i brak ruchu - dr Tadeusz Oleszczuk,,0
"Odrobaczasz psa, ale siebie nigdy? 45% z nas ma pasożyty - dr Tadeusz Oleszczuk",,0
"Lekarz mówi: ""Proszę o siebie dbać"". Ale co to właściwie znaczy? - dr Tadeusz Oleszczuk",,0
"Po co pytać o dietę, skoro łatwiej wypisać lek? - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
To nie twoja wina. System zarabia na twojej chorobie - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
"Pacjentki krążą między lekarzami, a nikt nie mówi dlaczego - dr Tadeusz Oleszczuk",Tadeusz Oleszczuk,1
"""FETYSZE JAPONEK: DLACZEGO SIĘ TAM NIE GOLĄ  - POWIEM JAK JEST"" PÓŁ POLAK PÓŁ JAPOŃCZYK SZCZERZE ",,0
POWRÓT DO SPRAWY ANDRZEJA LEPPERA #podcast #shorts,,0
ZAINTERESOWANIE SPRAWĄ ANDRZEJA LEPPERA #podcast #shorts,,0
PRAWDA PONAD WSZYSTKO #podcast #shorts,,0
KTO POWINIEN RZĄDZIĆ POLSKĄ #podcast #shorts,,0
INWIGILACJA ANDRZEJA LEPPERA #podcast #shorts,,0
ZWIĄZKI DONALDA TUSKA #podcast #shorts,,0
