title,detected_names,names_count
Prof. Włodzisław Duch o elektrycznych owcach #shorts,"Włodzisław Duch, elektrycznych owcach",2
Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,"Włodzisław Duch, o dyskusji dwóch botów #shorts",2
04 Najgorszy Moment w Mauretanii – ft. Piotr Pająk,"Najgorszy Moment, w Mauretanii, Piotr Pająk",3
10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Gdzie Nauczyć, Się Rozmawiać, Ludźmi? – ft. Piotr",3
09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Jak Rosjanie, Reagują Na Polaków, ? – ft. Piotr",3
08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"08 Tam, Ludzie Są, Uzbrojeni Strasznie, Piotr Pająk",4
07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"07 Jak, Działa Izraelska, Agencja Wywiadowcza, Piotr Pająk",4
06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Najbrudniejsze Kraje, Świata – ft., Piotr Pająk",3
"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk","05 Spokojnie, , Ja, Nie Jestem, Bezdomny – ft. Piotr",4
03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"03 Dlaczego, Hostel Jest, Lepszy Od, Hotelu? –, Piotr Pająk",5
"02 Błagałem, Żebym Przetrwał Do Rana – ft. Piotr Pająk","02 Błagałem, , Żebym, Przetrwał Do, Rana –, Piotr Pająk",5
#476 Jak Rosjanie Reagują Na Polaków? Jak Naprawdę Wygląda Życie w Korei Północnej? - Piotr Pająk,"Jak Rosjanie, Reagują Na Polaków, Jak Naprawdę, Wygląda Życie, w Korei, Północnej?, - Piotr",7
07 Pomysły Na Biznes w Polsce – ft. Bartosz Majewski,"07 Pomysły, Biznes w Polsce, Bartosz Majewski",3
01 Jak Naprawdę Wygląda Korea Północna? – ft. Piotr Pająk (premiera we wtorek o 19:00),"Jak Naprawdę, Wygląda Korea, Północna? –, Piotr Pająk, (premiera",5
06 Czy To Dlatego Trump Wygrał Wybory? – ft. Bartosz Majewski,"06 Czy, To Dlatego, Trump Wygrał, Wybory? –, Bartosz Majewski",5
05 Moja Rada Dla Młodych Ludzi – ft. Bartosz Majewski,"05 Moja, Rada Dla, Młodych Ludzi, Bartosz Majewski",4
Jakie produkty naprawdę wspierają długowieczność? - dr Tadeusz Oleszczuk,"Jakie produkty naprawdę wspierają długowieczność? -, Tadeusz Oleszczuk",2
Banki kontra klienci. Kto tu naprawdę dba o twój interes? - Trader21,"Banki kontra klienci. Kto, tu naprawdę dba o twój interes? -",2
Koniec wolności: jak system chce pozbawić cię pieniędzy? Trader21,Koniec wolności: jak,1
Czy po 50. roku życia mężczyzna potrzebuje terapii testosteronem? - dr Tadeusz Oleszczuk,"Czy po 50, roku życia mężczyzna potrzebuje terapii testosteronem? - dr Tadeusz",2
Czy filtry SPF naprawdę są bezpieczne? - dr Tadeusz Oleszczuk,"Czy filtry SPF naprawdę są bezpieczne? - dr, Tadeusz Oleszczuk",2
"Myślisz, że jesz zdrowo? Sprawdź skład jogurtu i chleba - dr Tadeusz Oleszczuk","Myślisz,, Sprawdź skład jogurtu i chleba -, Tadeusz Oleszczuk",3
Kiedyś 170 dodatków do żywności. Dziś? Ponad 10 tysięcy - dr Tadeusz Oleszczuk,"Kiedyś 170 dodatków, Dziś? Ponad, Tadeusz Oleszczuk",3
To już nie jest jedzenie. To tylko dobrze opakowany syf - dr Tadeusz Oleszczuk,już nie jest jedzenie. To tylko dobrze opakowany syf - dr Tadeusz,1
Najważniejszym narządem w s3ksie jest... mózg - dr Tadeusz Oleszczuk,"Najważniejszym narządem w s3ksie, Tadeusz Oleszczuk",2
Masz niski testosteron? To może być przez stres i brak ruchu - dr Tadeusz Oleszczuk,"Masz niski testosteron, być przez stres i brak ruchu - dr Tadeusz",2
"Odrobaczasz psa, ale siebie nigdy? 45% z nas ma pasożyty - dr Tadeusz Oleszczuk","Odrobaczasz psa, , ale siebie nigdy? 45, nas ma pasożyty - dr Tadeusz",3
"Lekarz mówi: ""Proszę o siebie dbać"". Ale co to właściwie znaczy? - dr Tadeusz Oleszczuk","Lekarz mówi: "", Proszę o, Ale co to właściwie znaczy? - dr Tadeusz",3
"Po co pytać o dietę, skoro łatwiej wypisać lek? - dr Tadeusz Oleszczuk","Po co pytać o dietę,, Tadeusz Oleszczuk",2
To nie twoja wina. System zarabia na twojej chorobie - dr Tadeusz Oleszczuk,"To nie twoja wina. System, Tadeusz Oleszczuk",2
"Pacjentki krążą między lekarzami, a nikt nie mówi dlaczego - dr Tadeusz Oleszczuk","Pacjentki krążą między lekarzami,, Tadeusz Oleszczuk",2
"""FETYSZE JAPONEK: DLACZEGO SIĘ TAM NIE GOLĄ  - POWIEM JAK JEST"" PÓŁ POLAK PÓŁ JAPOŃCZYK SZCZERZE ","""FETYSZE, JAPONEK: DLACZEGO, SIĘ TAM, NIE GOLĄ, POWIEM JAK, JEST"", PÓŁ POLAK, PÓŁ JAPOŃCZYK",8
POWRÓT DO SPRAWY ANDRZEJA LEPPERA #podcast #shorts,"POWRÓT DO, SPRAWY ANDRZEJA",2
ZAINTERESOWANIE SPRAWĄ ANDRZEJA LEPPERA #podcast #shorts,"ZAINTERESOWANIE SPRAWĄ, ANDRZEJA LEPPERA",2
PRAWDA PONAD WSZYSTKO #podcast #shorts,"PRAWDA PONAD, WSZYSTKO #",2
KTO POWINIEN RZĄDZIĆ POLSKĄ #podcast #shorts,"KTO POWINIEN, RZĄDZIĆ POLSKĄ",2
INWIGILACJA ANDRZEJA LEPPERA #podcast #shorts,ANDRZEJA LEPPERA,1
ZWIĄZKI DONALDA TUSKA #podcast #shorts,ZWIĄZKI DONALDA,1
Czego boi się Putin? #putin #rosja #arletabojke,Czego boi się Putin,1
PUTIN się nie cofnie. Czy Polska jest następna? Mocne słowa Arlety Bojke.,"PUTIN się nie cofnie. Czy, Polska jest następna? Mocne, Arlety Bojke",3
Jakie plany miał Minister Ziobro vs Rozwodów? #rozwód,"Jakie plany miał Minister, Ziobro vs, Rozwodów? #rozwód",3
Czym jest alienacja rodzicielska? #rozwód #alienacja,Czym jest alienacja rodzicielska? #rozwód #alienacja,1
Koniec z płaceniem alimentów? #alimenty #rozwód,Koniec z płaceniem alimentów? #alimenty #rozwód,1
Koniec ALIMENTÓW? Rewolucja w rozwodach! Prawnik tłumaczy!,"Koniec ALIMENTÓW, ? Rewolucja, Prawnik tłumaczy",3
Czy wstyd to najsilniejsza emocja?,Czy wstyd to najsilniejsza emocja?,1
Czy osiągnięcie celu naprawdę może coś zmienić? Piotr Polo Przywarski,"Czy osiągnięcie celu naprawdę może coś zmienić?, Piotr Polo",2
"Piotr Polo Przywarski i jego ""chora historia""","Piotr Polo, Przywarski i jego",2
"Ekstremalna przestępczość, bieda i brud. Jak podróżuje Piotr Polo Przywarski","Ekstremalna przestępczość,, Jak podróżuje, Piotr Polo",3
Włodzimierz Czarzasty o różnicy miedzy Konfederacją a Lewicą,"Włodzimierz Czarzasty, Konfederacją a",2
"Haiti: brud, syf i bieda – Piotr Polo Przywarski","Haiti: brud,, Piotr Polo",2
Piotr Polo Przywarski – czy kiedykolwiek bał się o przetrwanie kanału?,"Piotr Polo, Przywarski –, bał się o",3
Włodzimierz Czarzasty: Populizm w Polsce? To się nazywa Konfederacja,"Włodzimierz Czarzasty, Polsce?",2
"""Od dekady nie uprawiam s3ksu bez zabezpieczenia"" Piotr Polo Przywarski","""Od, bez zabezpieczenia"", Piotr Polo",3
Piotr Polo Przywarski i afera o odcisk palca w Chinach,"Piotr Polo, Przywarski i afera o odcisk palca w Chinach",2
Wyobrażacie sobie świat bez podatków? Włodzimierz Czarzasty,"Wyobrażacie sobie świat bez, Włodzimierz Czarzasty",2
Piotr Polo Przywarski – dlaczego nie lubił się z Cashem?,"Piotr Polo, Przywarski –, dlaczego nie lubił się z, Cashem?",4
Piotr Polo Przywarski – czy podróżujące kobiety czują się w Afganistanie bezpieczniej niż mężczyźni?,"Piotr Polo, Przywarski –, Afganistanie bezpieczniej niż mężczyźni?",3
Włodzimierz Czarzasty: nikt z nas nie znał Magdaleny Ogórek,"Włodzimierz Czarzasty, nas nie znał Magdaleny",2
