title,detected_names,names_count
Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,"Włodzisław Duch, o dyskusji dwóch botów #shorts",2
03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"03 Dlaczego, Hostel Jest, Lepszy Od, Hotelu? –, Piotr Pająk",5
"02 Błagałem, Żebym Przetrwał Do Rana – ft. Piotr Pająk","02 Błagałem, , Żebym, Przetrwał Do, Rana –, Piotr Pająk",5
#476 Jak Rosjanie Reagują Na Polaków? Jak Naprawdę Wygląda Życie w Korei Północnej? - Piotr Pająk,"Jak Rosjanie, Reagują Na Polaków, Jak Naprawdę, Wygląda Życie, w Korei, Północnej?, - Piotr",7
07 Pomysły Na Biznes w Polsce – ft. Bartosz Majewski,"07 Pomysły, Biznes w Polsce, Bartosz Majewski",3
01 Jak Naprawdę Wygląda Korea Północna? – ft. Piotr Pająk (premiera we wtorek o 19:00),"Jak Naprawdę, Wygląda Korea, Północna? –, Piotr Pająk, (premiera",5
06 Czy To Dlatego Trump Wygrał Wybory? – ft. Bartosz Majewski,"06 Czy, To Dlatego, Trump Wygrał, Wybory? –, Bartosz Majewski",5
05 Moja Rada Dla Młodych Ludzi – ft. Bartosz Majewski,"05 Moja, Rada Dla, Młodych Ludzi, Bartosz Majewski",4
04 Dlaczego YouTuberzy Będą Zarabiać Więcej Pieniędzy? – ft. Bartosz Majewski,"04 Dlaczego, YouTuberzy Będą, Zarabiać Więcej, Pieniędzy? –, Bartosz Majewski",5
03 Jak Znaleźć Młodych Ludzi z Talentem? – ft. Bartosz Majewski,"Jak Znaleźć, Młodych Ludzi, Talentem?, Bartosz Majewski",4
02 Niesamowita Zbiórka w Kanale Zero – ft. Bartosz Majewski,"02 Niesamowita, Zbiórka w Kanale, Zero –, Bartosz Majewski",4
#475 Jak Kupić Sobie Więcej Czasu? W Jakim Kierunku Idzie Polskie Społeczeństwo? - Bartosz Majewski,"475 Jak Kupić, Sobie Więcej, Czasu? W, Jakim Kierunku, Idzie Polskie, Społeczeństwo? -, Bartosz Majewski",7
04 Najgorszy Moment w Mauretanii – ft. Piotr Pająk,"Najgorszy Moment, w Mauretanii, Piotr Pająk",3
"Myślisz, że jesz zdrowo? Sprawdź skład jogurtu i chleba - dr Tadeusz Oleszczuk","Myślisz,, Sprawdź skład jogurtu i chleba -, Tadeusz Oleszczuk",3
Kiedyś 170 dodatków do żywności. Dziś? Ponad 10 tysięcy - dr Tadeusz Oleszczuk,"Kiedyś 170 dodatków, Dziś? Ponad, Tadeusz Oleszczuk",3
