title,detected_names,names_count
Piotr Polo Przywarski – dlaczego nie lubił się z Cashem?,"Piotr Polo, Przywarski –, dlaczego nie lubił się z, Cashem?",4
Piotr Polo Przywarski – czy podróżujące kobiety czują się w Afganistanie bezpieczniej niż mężczyźni?,"Piotr Polo, Przywarski –, Afganistanie bezpieczniej niż mężczyźni?",3
Włodzimierz Czarzasty – dlaczego rzucił biznes i poszedł w politykę?,"Włodzimierz Czarzasty, – dlaczego rzucił biznes i poszedł w politykę",2
Piotr Polo Przywarski – są miejsca których się boi?,"Piotr Polo, Przywarski –, których się boi?",3
Piotr Polo Przywarski wspomina nagranie pierwszego vloga,"Piotr Polo, Przywarski wspomina nagranie pierwszego vloga",2
Piotr Polo Przywarski – skąd w nim taka odwaga?,"Piotr Polo, Przywarski –",2
Włodzimierz Czarzasty: Koalicja popełnia błędy. I trzeba to głośno powiedzieć!,"Włodzimierz Czarzasty, : Koalicja",2
Piotr Polo w szybkich pytaniach!,Piotr Polo,1
Piotr Polo Przywarski – nie potrzebuje stabilizacji?,"Piotr Polo, Przywarski –, stabilizacji?",3
Piotr Polo Przywarski: podróż to metafizyka,"Piotr Polo, Przywarski: podróż",2
"Skąd tabletka wie, gdzie boli? | dr inż. Adam Mirek","Skąd tabletka, , gdzie boli? | dr, Adam Mirek",3
Epizod depresyjny często jest poprzedzony stratą | Jakub B. Bączek,"Epizod depresyjny często jest, poprzedzony stratą | Jakub",2
Prawdziwi mężczyźni nie płaczą | Debata o depresji mężczyzn,Prawdziwi mężczyźni nie płaczą | Debata,1
Dużo miasto czy wieś - gdzie jest większe ryzyko depresji? | Debata,"Dużo miasto czy wieś -, większe ryzyko depresji? | Debata",2
Wydrukowana wątroba tylko dla elit? Innych nie będzie stać | dr inż. Adam Mirek,"Wydrukowana wątroba tylko dla elit? Innych, będzie stać | dr inż. Adam Mirek",2
"Migranci w Polsce – wszyscy komentują, mało kto rozumie | prof. Paweł Kaczmarczyk","Migranci w Polsce, – wszyscy komentują, mało kto rozumie | prof. Paweł",2
„#tantra zmieniła moją relację ze swoim ciałem” #kasianast o intymności tantrycznej✨#podcast,"„#tantra, ✨#podcast",2
Jak Wam się podoba nasza rozmowa?🙌 Co myślicie? #podcast #kasianast #duchowość #energia,"Jak Wam, 🙌 Co",2
#kasianast pięknie o intymności i dotyku❤️‍🔥 #podcast #tantra #intymność #miłość #dotyk,🔥 #podcast #tantra #intymność #miłość #dotyk,1
Niewygodna prawda o Powstaniu Warszawskim. Leszek Żebrowski,"Niewygodna prawda, Powstaniu Warszawskim, Leszek Żebrowski",3
Rodziny międzygatunkowe. Kamil Prabucki,Rodziny międzygatunkowe. Kamil,1
Polacy są bardziej tolerancyjni niż Zachód? Kamil Prabucki,"Polacy są bardziej tolerancyjni niż Zachód, ? Kamil",2
Promowana na siłę poprawność. Kamil Prabucki,Promowana na siłę poprawność. Kamil,1
Eksperyment z myszami. Igor Witkowski,Eksperyment z myszami. Igor,1
Powstańcy narażali cywili? Leszek Żebrowski,Powstańcy narażali cywili? Leszek,1
Powstańcy nie mieli broni? Leszek Żebrowski,Powstańcy nie mieli broni? Leszek,1
Powstańcy byli szaleńcami? Leszek Żebrowski,Powstańcy byli szaleńcami? Leszek,1
Depresja poporodowa  #balans #podcast #psychoterapia,Depresja poporodowa,1
"Rymanowski, Gawkowski: Gabinet wojenny?","Rymanowski,, Gawkowski: Gabinet",2
Czy partia Joanny Senyszyn rozbije duopol w Polsce?  #senyszyn #polityka #popis #polska #rymanowski,"Czy partia Joanny, Senyszyn rozbije duopol w Polsce, ?  #senyszyn #polityka #popis #polska #rymanowski",3
Za mało kobiet w rządzie? Senyszyn grzmi po rekonstrukcji  #kobieta #rząd #senyszyn #polityka #tusk,"Za mało kobiet w rządzie? Senyszyn, rekonstrukcji  #kobieta #rząd #senyszyn #polityka #tusk",2
Czy Polska to poważne państwo? Jakubiak kontra Senyszyn  #prawo #po #pis #rząd #polska #polityka,"Czy Polska, to poważne państwo? Jakubiak, kontra Senyszyn, pis #rząd #polska",4
"KONTRA #9 Rymanowski, Giełzak, Ziemkiewicz: Co z tą Polską i Europą?","KONTRA #9, Rymanowski,, Giełzak, Ziemkiewicz, tą Polską, Europą?",5
Żurek i sprawiedliwość – czy PiS ma się czego bać?  #senyszyn #jakubiak #żurek #rząd #polityka,"Żurek i sprawiedliwość –, ?  #senyszyn #jakubiak #żurek #rząd #polityka",2
Koniec Bodnara w rządzie. Co na to Senyszyn i Jakubiak?  #rząd #bodnar #tusk #polityka #prawo,"Koniec Bodnara, rządzie. Co na to Senyszyn, Jakubiak?, tusk #polityka #prawo",4
"Kto rano wstaje, ten co?  #senyszyn #jakubiak #hołownia #polityka #śmieszne #przysłowia #rymanowski","Kto rano wstaje,, ten co?  #senyszyn #jakubiak #hołownia #polityka #śmieszne #przysłowia #rymanowski",2
Bosak kontra Matczak – kto ma rację?  #migracja #granica #bosak #matczak #polityka #polska,"Bosak kontra Matczak, ?  #migracja #granica #bosak #matczak #polityka #polska",2
Nielegalna a masowa imigracja – jaka jest różnica?  #bosak #migracja #polityka #polska #rymanowski,"Nielegalna a, różnica?  #bosak #migracja",2
Krzysztof Bosak na granicy – co robi?  #bosak #migracja #konfederacja #polityka #kościół #rymanowski,"Krzysztof Bosak, ?  #bosak #migracja #konfederacja #polityka #kościół #rymanowski",2
Etat czy biznes? Da się jedno i drugie! GROM #biznes #motywacja #rozwójosobisty,"Etat czy biznes? Da się jedno i, drugie! GROM #biznes #motywacja #rozwójosobisty",2
Co naprawdę Cię blokuje? #przywództwo #rozwójosobisty #mentalność #biznes,Co naprawdę Cię blokuje? #przywództwo #rozwójosobisty #mentalność #biznes,1
Co naprawdę Cię blokuje? przywództwo #rozwójosobisty #mentalność #biznes,Co naprawdę Cię blokuje? przywództwo #rozwójosobisty #mentalność #biznes,1
Jak uzdrowić poczucie własnej wartości? Pati Garg Gosia Ohme | Kafka Odc. 445,"Jak uzdrowić poczucie własnej wartości? Pati, Garg Gosia, Kafka Odc",3
"Między wstydem, a wolnością - o dojrzałej kobiecości — Alicja Długołęcka Gosia Ohme","Między wstydem,, dojrzałej kobiecości — Alicja, Długołęcka Gosia",3
Jak dzieciństwo kształtuje twoje relacje — Katarzyna Miller Gosia Ohme,"Jak dzieciństwo kształtuje twoje relacje — Katarzyna, Miller Gosia",2
Moja droga do siebie – Gosia Ohme,Moja droga do siebie – Gosia,1
Facet idealny – Katarzyna Miller Gosia Ohme,"Facet idealny –, Katarzyna Miller, Gosia Ohme",3
Odzyskaj siłę i odrzuć toksyczne relacje – Gosia Ohme,"Odzyskaj siłę, odrzuć toksyczne relacje –, Gosia Ohme",3
"Dojrzałość, miłość i autonomia — Alicja Długołęcka Gosia Ohme","Dojrzałość,, Alicja Długołęcka, Gosia Ohme",3
Pokonaj strach – Gosia Ohme,"Pokonaj strach –, Gosia Ohme",2
TO KOBIETA WYBIERA MĘŻCZYZNĘ #podcast #wzwiązku #psychoterapia,"TO KOBIETA, MĘŻCZYZNĘ #podcast #wzwiązku #psychoterapia",2
"MĘŻCZYZNA MA BARDZIEJ KOCHAĆ KOBIETĘ, NIŻ KOCHAĆ SIEBIE #podcast #wzwiązku #psychoterapia","MĘŻCZYZNA MA, BARDZIEJ KOCHAĆ, KOBIETĘ,, NIŻ KOCHAĆ, SIEBIE #podcast #wzwiązku #psychoterapia",5
ASSTER: DALEJ JEST WE MNIE PODZIEMNY BRUD (WYWIAD),"ASSTER: DALEJ, JEST WE, MNIE PODZIEMNY, BRUD (, WYWIAD)",5
TO PRZYSZŁOŚĆ POLSKIEGO RAPU?,"PRZYSZŁOŚĆ POLSKIEGO, RAPU?",2
Na jaki koncert OFF Festivalu czekasz najbardziej? Perlage #reklama,"koncert OFF, Festivalu czekasz najbardziej? Perlage",2
Używana elektryki w komisie,Używana elektryki w komisie,1
Hity polskich auto komisów,Hity polskich auto komisów,1
Na co zwraca uwagę właściciel komisu samochodowego?,Na co zwraca uwagę właściciel komisu samochodowego?,1
